,,,,aj,,Areninovic,,"(from Latin arena, sand): having a layer, ? 5 cm and < 50 cm thick, with a texture class of sand or loamy sand in its major part, overlying a buried soil that is classified with preference according to the �Rules for classifying soils� (Chapter 2.5).",,,,,,,,,,,,,,,,,,,,,,
,,,,cj,,Clayinovic,,"(from English clay): having a layer, ? 5 cm and < 50 cm thick, with a texture class of clay, sandy clay or silty clay in its major part, overlying a buried soil that is classified with preference according to the �Rules for classifying soils� (Chapter 2.5).",,,,,,,,,,,,,,,,,,,,,,
,,,,lj,,Loaminovic,,"(from English loam): having a layer, ? 5 cm and < 50 cm thick, with a texture class of loam, sandy loam, sandy clay loam, clay loam or silty clay loam in its major part, overlying a buried soil that is classified with preference according to the �Rules for classifying soils� (Chapter 2.5).",,,,,,,,,,,,,,,,,,,,,,
,,,,sj,,Siltinovic,,"(from English silt): having a layer, ? 5 cm and < 50 cm thick, with a texture class of silt or silt loam in its major part, overlying a buried soil that is classified with preference according to the �Rules for classifying soils� (Chapter 2.5).",,,,,,,,,,,,,,,,,,,,,,
,,,,ng,Nudiargic,,,"(from Latin nudus, naked, and argilla, white clay): having an argic horizon starting at the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,oh,Ochric,,,"(from Greek ochros, pale): having ? 0.2 % soil organic carbon (weighted average) in the layer from the mineral soil surface to a depth of 10 cm from the mineral soil surface; and not having a mollic or umbric horizon and not fulfilling the set of criteria of the Humic qualifier.",,,,,,,,,,,,,,,,,,,,,,
,,,,om,Ombric,,,"(from Greek ombros, rain): having a histic horizon saturated predominantly with rainwater (in Histosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,oc,Ornithic,,,"(from Greek ornithos, bird): having a layer ? 15 cm thick, with ornithogenic material starting ? 50 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,os,Ortsteinic,,,"(from German Ortstein, locally occurring stone): having a spodic horizon that has a subhorizon, ? 2.5 cm thick, that is cemented ('ortstein') in ? 50% of its horizontal extension (in Podzols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,or,Oxyaquic,,,"(from Greek oxys, sour, and Latin aqua, water): having a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, that is saturated with oxygen-rich water during a period of ? 20 consecutive days; and not having gleyic or stagnic properties in any layer within ? 100 cm of the mineral soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,oy,Oxygleyic,,,"(from Greek oxys, sour, and Russian gley, mucky soil mass): not having, within ? 100 cm of the mineral soil surface, a layer that meets diagnostic criterion 1 of the gleyic properties (in Gleysols only).",,,,,,,,,,,,,,,,,,,,,,
-1,,,-1,ph,Pachic,,,"(from Greek pachys, thick): having a mollic or umbric horizon ? 50 cm thick.",mollic horizon,umbric horizon,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,pe,Pellic,,,"(from Greek pellos, dusty): having in the upper 30 cm of the soil a Munsell colour value of ? 3 and a chroma of ? 2, both moist (in Vertisols only).",Munsell colour hue,Munsell colour chroma,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,pt,Petric,,,"(from Greek petros, rock): having a cemented or indurated layer starting ? 100 cm from the soil surface (refers to a diagnostic horizon of the respective RSG) (1: Epi- and Endo- only).",cemented layer,indurated layer,,,,,,,,,,,,,,,,,,,,
,,,,np,,Nudipetric,,"(from Latin nudus, naked): having a cemented or indurated layer starting at the soil surface (refers to a diagnostic horizon of the respective RSG).",,,,,,,,,,,,,,,,,,,,,,
,,,,pc,Petrocalcic,,,"(from Greek petros, rock, and Latin calx, lime): having a petrocalcic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,pd,Petroduric,,,"(from Greek petros, rock, and Latin durus, hard): having a petroduric horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,pg,Petrogleyic,,,"(from Greek petros, rock, and Russian gley, mucky soil mass): having a layer ? 10 cm thick, within ? 100 cm of the mineral soil surface, that meets diagnostic criterion 2 of the gleyic properties and of which ? 15% (by volume) is cemented (bog iron) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,py,Petrogypsic,,,"(from Greek petros, rock, and gypsos, gypsum): having a petrogypsic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,pp,Petroplinthic,,,"(from Greek petros, rock, and plinthos, brick): having a petroplinthic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ps,Petrosalic,,,"(from Greek petros, rock, and Latin sal, salt): having a layer ? 10 cm thick, within ? 100 cm of the soil surface, which is cemented by salts more soluble than gypsum (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,px,Pisoplinthic,,,"(from Latin pisum, pea, and Greek plinthos, brick): having a pisoplinthic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,pi,Placic,,,"(from Greek plax, flat stone): having a layer, between ? 0.1 and < 2.5 cm thick, within ? 100 cm of the mineral soil surface, that is cemented or indurated by a combination of organic matter, Fe, Mn and/or Al and is continuous to the extent that vertical fractures, if present, have an average horizontal spacing of ? 10 cm and occupy < 20% (by volume) (2: Epi-, Endo- and Amphi- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,pa,Plaggic,,,"(from Low German plaggen, sod): having a plaggic horizon (2: Pantoonly).",,,,,,,,,,,,,,,,,,,,,,
,,,,pl,Plinthic,,,"(from Greek plinthos, brick): having a plinthic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,po,Posic,,,"(from Latin positivus, given): having layer ? 30 cm thick, and starting ? 100 cm from the soil surface, that has a zero or positive charge (pHKCl - pHwater ? 0, both in 1:1 solution) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,pk,Pretic,,,"(from Portuguese preto, black): having a pretic horizon (2: Panto- only).",,,,,,,,,,,,,,,,,,,,,,
-1,,,-1,pf,Profondic,,,"(from French profond, deep): having an argic horizon in which the clay content does not decrease by ? 20% (relative) from its maximum within 150 cm of the soil surface.",argic horizon,clay content,,,,,,,,,,,,,,,,,,,,
,,,,pr,Protic,,,"(from Greek protou, before): showing no soil horizon development, with the exception of a cryic horizon, which may be present.",,,,,,,,,,,,,,,,,,,,,,
,,,,qg,Protoargic,,,"(from Greek protou, before, and Latin argilla, white clay): having an absolute clay increase of ? 4% from one layer to the directly underlying layer within ? 100 cm of the mineral soil surface (in Arenosols only) (1).",,,,,,,,,,,,,,,,,,,,,,
,,,,pu,Puffic,,,(from English to puff): having a crust pushed up by salt crystals (in Solonchaks only).,,,,,,,,,,,,,,,,,,,,,,
-1,,,,rp,Raptic,,,"(from Latin raptus, broken): having a lithic discontinuity at some depth ? 100 cm from the mineral soil surface (1).",lithic discontinuity,,,,,,,,,,,,,,,,,,,,,
,,,,ra,Reductaquic,,,"(from Latin reductus, drawn back, and aqua, water): having a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, that is saturated with water during the thawing period and that has at some time of the year reducing conditions above a cryic horizon and within ? 100 cm of the mineral soil surface (in Cryosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,rd,Reductic,,,"(from Latin reductus, drawn back): having reducing conditions in ? 25% of the volume of the fine earth within 100 cm of the soil surface, caused by gaseous emissions, e.g. methane or carbon dioxide, or caused by liquid intrusions other than water, e.g. gasoline (5).",,,,,,,,,,,,,,,,,,,,,,
,,,,ry,Reductigleyic,,,"(Latin reductus, drawn back, and Russian gley, mucky soil mass): not having, ? 40 cm from the mineral soil surface, a layer that meets diagnostic criterion 2 of the gleyic properties (in Gleysols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,rc,Relocatic,,,"(from Latin re, again, and locatus, put): being in situ remodelled by human activity to a depth of ? 100 cm (e.g. by deep ploughing, refilling soil pits or levelling land) and no horizon development after remodelling throughout, at least between 20 cm and 100 cm from the soil surface or between the lower limit of any plough layer, > 20 cm thick, and 100 cm from the soil surface (in Technosols, Relocatic is redundant, except in combination with the Ekranic or Linic qualifier); a destroyed diagnostic subsurface horizon may be added with a hyphen, e.g. Spodi-Relocatic, Spodi-Epirelocatic (4: Epi- only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,rz,Rendzic,,,"(from Polish rzendzic, to grate in contact with a plough blade): having a mollic horizon that contains or directly overlies calcaric material containing ? 40% calcium carbonate equivalent or that directly overlies calcareous rock containing ? 40% calcium carbonate equivalent (2: Ano- and Panto- only).",mollic horizon,calcaric material,calcium carbonate,,,,,,,,,,,,,,,,,,,
,,,,sr,,Somerirendzic,,"(from Spanish somero, superficial): having a mollic horizon, < 20 cm thick, that directly overlies calcareous rock containing ? 40% calcium carbonate equivalent.",,,,,,,,,,,,,,,,,,,,,,
,,,,rt,Retic,,,"(from Latin rete, net): having retic properties starting ? 100 cm from the soil surface, but not having albeluvic glossae.",,,,,,,,,,,,,,,,,,,,,,
,,,,rh,Rheic,,,"(from Greek rhen, to flow): having a histic horizon saturated predominantly with groundwater or flowing water (in Histosols only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,ro,Rhodic,,,"(from Greek rhodon, rose): having between 25 and 150 cm of the soil surface, a layer ? 30 cm thick, that has, in ? 90% of its exposed area, a Munsell colour hue redder than 5YR moist, a value of < 4 moist, and a value dry, no more than one unit higher than the moist value (2: except Epi-).",Munsell colour hue,Munsell colour value,,,,,,,,,,,,,,,,,,,,
,,,,rk,Rockic,,,(from English rock): having continuous rock or technic hard material that is directly overlain by organic material (in Histosols only) (1: Epi- and Endoonly).,,,,,,,,,,,,,,,,,,,,,,
-1,,,,ru,Rubic,,,"(from Latin ruber, red): having between 25 and 100 cm of the soil surface, a layer ? 30 cm thick, that does not consist of albic material and that has, in ? 90% of its exposed area, a Munsell colour hue redder than 10YR and/or a chroma of ? 5, both moist (in Arenosols only) (2: except Epi-).",albic material,Munsell colour hue,,,,,,,,,,,,,,,,,,,,
,,,,rs,Rustic,,,(from English rust): having a spodic horizon in which the ratio of the percentage of Feox to the percentage of soil organic carbon is ? 6 throughout (in Podzols only).,,,,,,,,,,,,,,,,,,,,,,
0,,-1,0,sz,Salic,,,"(from Latin sal, salt): having a salic horizon starting ? 100 cm from the soil surface (2).",salic horizon,,,,,,,,,,,,,,,,,,,,,
,,,,jz,,Hypersalic,,"(from Greek hyper, over): having within ? 100 cm of the soil surface a layer that has an ECe of ? 30 dS m-1 at 25 �C (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,qz,,Protosalic,,"(from Greek protou, before): having within ? 100 cm of the soil surface a layer that has an ECe of ? 4 dS m-1 at 25 �C; and not having a salic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,sa,Sapric,,,"(from Greek sapros, rotted): having, after rubbing, less than one-sixth (by volume) of the organic material consisting of recognizable plant tissue within 100 cm of the soil surface (in Histosols only).",organic material,,,,,,,,,,,,,,,,,,,,,
,,,,se,Sideralic,,,"(from Greek sideros, iron, and Latin alumen, alum): having within ? 100 cm of the soil surface a layer that has sideralic properties (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,jr,,Hypersideralic,,"(from Greek hyper, over): having within ? 100 cm of the soil surface a layer that has sideralic properties and a CEC (by 1 M NH4OAc, pH 7) of < 16 cmolc kg-1 clay (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,sn,Silandic,,,"(from Latin silicia, silicon-containing material, and Japanese an, dark, and do, soil): having within ? 100 cm of the soil surface one or more layers with a combined thickness of ? 15 cm with andic properties and a Siox content of ? 0.6% or an Alpy/Alox of < 0.5 (in Andosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,,-1,sl,Siltic,,,"(from English silt): having a texture class of silt or silt loam in a layer ? 30 cm thick, within ? 100 cm of the mineral soil surface or in the major part between the mineral soil surface and continuous rock, technic hard material or a cemented or indurated layer starting < 60 cm from the mineral soil surface (2; no subqualifier if continuous rock or technic hard material starts < 60 cm from the mineral soil surface).",texture,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,sk,Skeletic,,,"(from Greek skeletos, dried out): having ? 40% (by volume) coarse fragments averaged over a depth of 100 cm from the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (5).",coarse fragments,,,,,,,,,,,,,,,,,,,,,
,,,,kk,,Akroskeletic,,"(from Greek akra, top): having ? 40% of the soil surface covered by fragments that have a greatest dimension ? 6 cm (stones, boulders or large boulders).",,,,,,,,,,,,,,,,,,,,,,
,,,,ok,,Orthoskeletic,,"(from Greek orthos, right): having: � ? 40% of the soil surface covered by fragments that have a greatest dimension ? 6 cm (stones, boulders or large boulders), and � ? 40% (by volume) coarse fragments averaged over a depth of 100 cm from the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (5).",,,,,,,,,,,,,,,,,,,,,,
,,,,tk,,Technoskeletic,,"(from Greek technae, art): having ? 40% (by volume) coarse fragments, that meet the criteria of artefacts, averaged over a depth of 100 cm from the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (5).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,so,Sodic,,,"(from Spanish soda, gaseous water): having a layer ? 20 cm thick, and starting ? 100 cm from the soil surface, that has ? 15% Na plus Mg and ? 6% Na on the exchange complex; and not having a natric horizon starting ? 100 cm from the soil surface (2).",natric horizon ,,,,,,,,,,,,,,,,,,,,,
,,,,as,,Argisodic,,"(from Latin argilla, white clay): having an argic horizon, starting ? 100 cm from the soil surface, that has ? 15% Na plus Mg and ? 6% Na on the exchange complex throughout the argic horizon or within its upper 40 cm, whichever is thinner (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,qs,,Protosodic,,"(from Greek protou, before): having a layer ? 20 cm thick, and starting ? 100 cm from the soil surface, that has ? 6% Na on the exchange complex; and not having a natric horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,sb,Sombric,,,"(from French sombre, shade): having a sombric horizon starting ? 150 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,si,Someric,,,"(from Spanish somero, superficial): having a mollic or umbric horizon, < 20 cm thick.",,,,,,,,,,,,,,,,,,,,,,
,,,,sd,Spodic,,,"(from Greek spodos, wood ash): having a spodic horizon starting ? 200 cm from the mineral soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,jp,,Hyperspodic,,"(from Greek hyper, over): having a spodic horizon ? 100 cm thick.",,,,,,,,,,,,,,,,,,,,,,
,,,,qp,,Protospodic,,"(from Greek protou, before): having a layer ? 2.5 cm thick, and starting ? 100 cm from the mineral soil surface, that has: � ? 0.5% soil organic carbon in its uppermost 1 cm, and � a sublayer with an Alox + �Feox value of ? 0.5% that is ? 2 times higher than the lowest Alox + �Feox value of all overlying mineral layers; and not having a spodic horizon starting ? 200 cm from the mineral soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,sp,Spolic,,,"(from Latin spoliare, to exploit): having a layer ? 20 cm thick, within ? 100 cm of the soil surface, with ? 20% (by volume, weighted average) artefacts containing ? 35% (by volume) industrial waste (mine spoil, dredgings, slag, ash,
rubble, etc.) (in Technosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,st,Stagnic,,,"(from Latin stagnare, to stagnate): having a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, that does not form part of a hydragric horizon and that has: � stagnic properties in which the area of reductimorphic colours plus the area of oximorphic colours is ? 25% of the layer's total area, and � reducing conditions for some time during the year in the major part of the layer's volume that has the reductimorphic colours (2).",hydragric horizon,stagnic properties,,,,,,,,,,,,,,,,,,,,
,,,,qw,,Protostagnic,,"(from Greek protou, before): having a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, that does not form part of a hydragric horizon and that has: � stagnic properties in which the area of reductimorphic colours plus the area of oximorphic colours is ? 10% and < 25% of the layer's total area, and � reducing conditions for some time during the year in the major part of the layer's volume that has the reductimorphic colours (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,rw,,Relictistagnic,,"(from Latin relictus, left back): having a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, that has: � stagnic properties in which the area of reductimorphic colours plus the area of oximorphic colours is ? 25% of the layer's total area, and � no reducing conditions (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,sq,Subaquatic,,,"(from Latin sub, under, and aqua, water): being permanently submerged by water not deeper than 200 cm.",,,,,,,,,,,,,,,,,,,,,,
,,,,su,Sulfatic,,,"(from Latin sulpur, sulfur): having a salic horizon with a soil solution (1:1 in water) with [SO4 2-] > 2*[HCO3 - ] > 2*[Cl- ] (in Solonchaks only).",,,,,,,,,,,,,,,,,,,,,,
,,,,sf,Sulfidic,,,"(from Latin sulpur, sulfur): having sulfidic material ? 15 cm thick, and starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,js,,Hypersulfidic,,"(from Greek hyper, over): having hypersulfidic material ? 15 cm thick, and starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ws,,Hyposulfidic,,"(from Greek hypo, under): having hyposulfidic material ? 15 cm thick, and starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ty,Takyric,,,"(from Turkic languages takyr, barren land): having takyric properties",,,,,,,,,,,,,,,,,,,,,,
,,,,te,Technic,,,"(from Greek technae, art): having ? 10% (by volume, weighted average) artefacts in the upper 100 cm from the soil surface or to continuous rock or a cemented or indurated layer, whichever is shallower; or having a layer ? 10 cm thick, and starting ? 90 cm from the soil surface, with ? 50% (by volume, weighted average) artefacts (5 or 2: Epi- and Endo- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,jt,,Hypertechnic,,"(from Greek hyper, over): having ? 20% (by volume, weighted average) artefacts in the upper 100 cm from the soil surface or to continuous rock or a cemented or indurated layer, whichever is shallower (5).",,,,,,,,,,,,,,,,,,,,,,
,,,,qt,,Prototechnic,,"(from Greek protou, before): having ? 5% (by volume, weighted average) artefacts in the upper 100 cm from the soil surface or to continuous rock or a cemented or indurated layer, whichever is shallower; or having a layer ? 10 cm thick, and starting ? 90 cm from the soil surface, with ? 25% (by volume, weighted average) artefacts (5 or 2: Epi- and Endo- only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,tf,Tephric,,,"(from Greek tephra, pile ash): having tephric material, starting ? 50 cm from the soil surface, that is � ? 30 cm thick, or � ? 10 cm thick and directly overlying continuous rock, technic hard material or a cemented or indurated layer (2).",tephric material,,,,,,,,,,,,,,,,,,,,,
,,,,qf,,Prototephric,,"(from Greek protou, before): having a layer with tephric material ? 10 and < 30 cm thick, and starting ? 50 cm from the soil surface and not reaching continuous rock, technic hard material or a cemented or indurated layer.",,,,,,,,,,,,,,,,,,,,,,
,,,,tr,Terric,,,"(from Latin terra, earth): having a terric horizon, and � in Anthrosols, not having a hortic, irragric, plaggic or pretic horizon with a thickness of ? 50 cm (2: Panto- only), and � in other soils, not having a hortic, irragric, plaggic or pretic horizon.",,,,,,,,,,,,,,,,,,,,,,
,,,,ti,Thionic,,,"(from Greek theion, sulfur): having a thionic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ji,,Hyperthionic,,"(from Greek hyper, over): having a thionic horizon starting ? 100 cm from the soil surface and having a pH (1:1 in water) < 3.5 (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,wi,,Hypothionic,,"(from Greek hypo, under): having a thionic horizon starting ? 100 cm from the soil surface and having a pH (1:1 in water) between ? 3.5 and < 4 (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,tp,Thixotropic,,,"(from Greek thixis, contact, and Greek tropae, reversion): having
in some layer within ? 50 cm of the soil surface, material that changes, under
pressure or by rubbing, from a plastic solid into a liquefied stage and back into the
solid condition.",,,,,,,,,,,,,,,,,,,,,,
,,,,td,Tidalic,,,"(from English tide): affected by tidal water, i.e. located between the line of mean high water springs and the line of mean low water springs.",,,,,,,,,,,,,,,,,,,,,,
,,,,to,Tonguic,,,"(from English tongue): showing tonguing of a chernic, mollic or umbric horizon into an underlying layer.",,,,,,,,,,,,,,,,,,,,,,
,,,,tx,Toxic,,,"(from Greek toxikon, arrow poison): having in some layer within ? 50 cm of the soil surface, toxic concentrations of organic or inorganic substances other than ions of Al, Fe, Na, Ca and Mg, or having radioactivity dangerous to humans.",,,,,,,,,,,,,,,,,,,,,,
,,,,at,Anthrotoxic,,,"(from Greek anthropos, human being): having in some layer within ? 50 cm of the soil surface, sufficiently high and persistent concentrations of organic or inorganic substances to markedly affect the health of humans who come in regular contact with the soil.",,,,,,,,,,,,,,,,,,,,,,
,,,,yx,Phytotoxic,,,"(from Greek phyton, plant): having in some layer within ? 50 cm of the soil surface, sufficiently high concentrations of ions other than Al, Fe, Na, Ca and Mg, to markedly affect plant growth.",,,,,,,,,,,,,,,,,,,,,,
,,,,rx,Radiotoxic,,,"(from Latin radius, ray): having radioactivity, dangerous to humans.",,,,,,,,,,,,,,,,,,,,,,
,,,,zx,Zootoxic,,,"(from Greek zoae, life): having in some layer within ? 50 cm of the soil surface, sufficiently high and persistent concentrations of organic or inorganic substances to markedly affect the health of animals, including humans, that ingest plants grown on these soils.",,,,,,,,,,,,,,,,,,,,,,
,,,,tn,Transportic,,,"(from Latin transportare, to transport): having at the soil surface a layer ? 20 cm thick, or with a thickness of ? 50% of the entire soil if continuous rock, technic hard material or a cemented or indurated layer is starting ? 40 cm from the soil surface, with soil material that does not meet the criteria of artefacts; and that has been moved from a source area outside the immediate vicinity of the soil by intentional human activity, usually with the aid of machinery, and without substantial reworking or displacement by natural forces (2: Ano- and Panto- only; no subqualifier if continuous rock or technic hard material starts ? 40 cm from the mineral soil surface).",,,,,,,,,,,,,,,,,,,,,,
,,,,ot,,Organotransportic,,"(from Greek organon, tool): having at the soil surface a layer ? 20 cm thick, or with a thickness of ? 50% of the entire soil if continuous rock, technic hard material or a cemented or indurated layer is starting ? 40 cm from the soil surface, with organic material that does not meet the criteria of artefacts; and that has been moved from a source area outside the immediate vicinity of the soil by intentional human activity, usually with the aid of machinery, and without substantial reworking or displacement by natural forces (2: Ano- and Panto- only; no subqualifier if continuous rock or technic hard material starts ? 40 cm from the mineral soil surface).",,,,,,,,,,,,,,,,,,,,,,
0,,-1,0,tu,Turbic,,,"(from Latin turbare, to disturb): having cryoturbation features (mixed material, disrupted soil horizons, involutions, organic intrusions, frost heave, separation of coarse from fine materials, cracks or patterned ground) within 100 cm of the soil surface, above a cryic horizon or above a seasonally frozen layer (2: only if clearly recognizable as layer).",cryic horizon,cryoturbation features,,,,,,,,,,,,,,,,,,,,
,,,,rb,,Relictiturbic,,"(from Latin relictus, left back): having cryoturbation features within 100 cm of the soil surface, caused by frost action in the past (2: only if clearly recognizable as layer).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,um,Umbric,,,"(from Latin umbra, shade): having an umbric horizon (2: Ano- and Panto- only).",umbric horizon,,,,,,,,,,,,,,,,,,,,,
,,,,aw,,Anthroumbric,,"(from Greek anthropos, human being): having an umbric horizon and anthric properties (2: Ano- and Panto- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,sw,,Someriumbric,,"(from Spanish somero, superficial): having an umbric horizon, < 20 cm thick.",,,,,,,,,,,,,,,,,,,,,,
,,,,tw,,Tonguiumbric,,"(from English tongue): having an umbric horizon that tongues into an underlying layer (2: Ano- and Panto- only; referring to the umbric horizon, not to the tongues).",,,,,,,,,,,,,,,,,,,,,,
,,,,ub,Urbic,,,"(from Latin urbs, city): having a layer ? 20 cm thick, within ? 100 cm of the soil surface, with ? 20% (by volume, weighted average) artefacts containing ? 35% (by volume) rubble and refuse of human settlements (in Technosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,uq,Uterquic,,,"(from Latin uterque, both): having a layer with dominant gleyic properties and some parts with stagnic properties.",,,,,,,,,,,,,,,,,,,,,,
,,,,vm,Vermic,,,"(from Latin vermis, worm): having ? 50% (by volume, weighted average) of worm holes, casts, or filled animal burrows in the upper 100 cm of the soil or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower.",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,vr,Vertic,,,"(from Latin vertere, to turn): having a vertic horizon starting ? 100 cm from the soil surface (2).",vertic horizon,,,,,,,,,,,,,,,,,,,,,
,,,,qv,,Protovertic,,"(from Greek protou, before): having a protovertic horizon starting ? 100 cm from the soil surfaced; and not having a vertic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,vt,Vetic,,,"(from Latin vetus, old): having between 25 and 100 cm of the soil surface a layer that has a sum of exchangeable bases (by 1 M NH4OAc, pH 7) plus exchangeable Al (by 1 M KCl, unbuffered) of < 6 cmolc kg-1 clay (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,vi,Vitric,,,"(from Latin vitrum, glass): having within ? 100 cm of the soil surface, one or more layers with andic or vitric properties with a combined thickness of ? 30 cm (in Cambisols ? 15 cm), of which ? 15 cm (in Cambisols ? 7.5 cm) have vitric properties (2).",andic properties ,vitric properties ,,,,,,,,,,,,,,,,,,,,
,,,,xa,Xanthic,,,"(from Greek xanthos, yellow): having a ferralic horizon that has in a subhorizon ? 30 cm thick, and starting ? 75 cm of the upper limit of the ferralic horizon, in ? 90% of its exposed area, a Munsell colour hue of 7.5YR or yellower, a value of ? 4 and a chroma of ? 5, all moist.",,,,,,,,,,,,,,,,,,,,,,
,,,,ye,Yermic,,,"(from Spanish yermo, desert): having yermic properties, including a desert pavement.",,,,,,,,,,,,,,,,,,,,,,
,,,,ny,,Nudiyermic,,"(from Latin nudus, naked): having yermic properties without a desert pavement.",,,,,,,,,,,,,,,,,,,,,,
,,,,Specifiers,,,,256,,,,,,,,,,,,,,,,,,,,,,
,,,,m,Amphi,,,"(from Greek amphi, around): the horizon or layer starts > 0 and < 50 cm of the (mineral) soil surface and has its lower limit > 50 and < 100 cm of the (mineral) soil surface; and no such horizon or layer occurs < 1 cm of the (mineral) soil surface; and no such horizon or layer occurs between 99 and 100 cm of the (mineral) soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,a,Ano,,,"(from Greek ano, upwards): the horizon or layer starts at the (mineral) soil surface, and has its lower limit > 50 and < 100 cm of the (mineral) soil surface; and no such horizon or layer occurs between 99 and 100 cm of the (mineral) soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,d,Bathy,,,"(from Greek bathys, deep) specifier
can be used to construct an additional subqualifier. The Bathy- subqualifier
extends to a greater depth than specified for the qualifier. If the Endo- specifier
cannot be added to a qualifier, the Bathy- specifier cannot be used either (e.g.
Alcalic: neither Endo-, nor Bathy-). If used with a principal qualifier, the
Bathy- subqualifier must shift to the supplementary qualifiers. The Bathysubqualifiers are placed after the supplementary qualifiers that are listed for the
respective RSG. With the Bathy- specifier, qualifiers that are not even in the list
for the particular RSG (see Chapter 4) can be added, for example Albic Arenosol
(Bathylixic). If it comprises buried layers, Bathy- is only allowed in combination
with the Thapto- specifier, e.g. Bathythaptovertic (see the Thapto- specifier,
below, and �2.5 Buried soils�, below).",,,,,,,,,,,,,,,,,,,,,,
,,,,n,Endo,,,"(from Greek endon, inside): the characteristic is present somewhere > 50 and ? 100 cm from the (mineral) soil surface and is absent ? 50 cm from the (mineral) soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,p,Epi,,,"(from Greek epi, over): the characteristic is present somewhere ? 50 cm from the (mineral) soil surface and is absent > 50 and ? 100 cm from the (mineral) soil surface.",,,,,,,,,,,,,,,,,,,,,,
